Scheme Name	Asset Value
Scheme Name	Net Asset Value
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment	11.6582
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth	11.6493
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend	11.0236
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus	21.8955
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2300
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth	43.7674
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.7567
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus	21.7643
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3550
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth	43.1599
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.8037
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.1035
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth	35.6206
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.4908
TRUSTMF BANKING & PSU FUND - DIRECT GROWTH	1298.1645
TRUSTMF BANKING & PSU FUND - REGULAR GROWTH	1270.394
TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1138.6685
TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1297.6702
TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1140.4679
TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1163.1491
TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1122.4271
TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1112.2077
TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1227.0901
TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1121.2934
TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1138.3726
TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1105.6348
UTI Banking & PSU Fund - Direct Plan - Annual IDCW	13.1769
UTI Banking & PSU Fund - Direct Plan - Flexi IDCW	19.2139
UTI Banking & PSU Fund - Direct Plan - Growth Option	22.2969
UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW	14.7957
UTI Banking & PSU Fund - Direct Plan - Monthly IDCW	13.507
UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW	16.5953
UTI Banking & PSU Fund - Regular Plan - Annual IDCW	12.9377
UTI Banking & PSU Fund - Regular Plan - Flexi IDCW	14.7044
UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW	14.6427
UTI Banking & PSU Fund - Regular Plan - Monthly IDCW	13.2876
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW	15.0473
UTI Banking & PSU Fund- Regular Plan - Growth Option	21.9269
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	115.3502
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	113.443
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	10.7424
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.9896
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.0673
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.7918
Axis Corporate Bond Fund - Direct Plan - Daily IDCW	10.2340
Axis Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2739
Axis Corporate Bond Fund - Direct Plan - Regular IDCW	14.1435
Axis Corporate Bond Fund - Direct Plan - Weekly IDCW	10.3875
Axis Corporate Bond Fund - Direct Plan Growth	18.1290
Axis Corporate Bond Fund - Regular Plan - Daily IDCW	10.2337
Axis Corporate Bond Fund - Regular Plan - Monthly IDCW	10.2073
Axis Corporate Bond Fund - Regular Plan - Regular IDCW	13.2416
Axis Corporate Bond Fund - Regular Plan - Weekly IDCW	10.2534
Axis Corporate Bond Fund - Regular Plan Growth	17.1387
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.5312
BANDHAN Corporate Bond Fund - Direct Growth	19.8446
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.8252
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.4517
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	13.1656
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.8608
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.5188
BANDHAN Corporate Bond Fund - Regular Growth	19.2773
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	11.2032
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.7052
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	12.9955
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.8946
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	11.5060
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	31.9644
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.5186
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.6411
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	11.7433
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	29.2972
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option	10.6810
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option	10.8482
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION	11.4315
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION	27.6169
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION	10.5591
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION	10.6618
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION	23.3442
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	12.7520
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION	21.8013
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	11.9263
DSP Corporate Bond Fund - Direct - Growth	16.2075
DSP Corporate Bond Fund - Direct - IDCW	11.4611
DSP Corporate Bond Fund - Direct - IDCW - Monthly	10.5619
DSP Corporate Bond Fund - Direct - IDCW - Quarterly 	11.5086
DSP Corporate Bond Fund - Regular - Growth	15.9336
DSP Corporate Bond Fund - Regular - IDCW	11.4346
DSP Corporate Bond Fund - Regular - IDCW - Monthly	10.5394
DSP Corporate Bond Fund - Regular - IDCW - Quarterly 	10.8503
Franklin India Corporate Debt Fund - Direct - Bonus	0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH	107.9340
Franklin India Corporate Debt Fund - Growth	99.7217
Franklin India Corporate Debt Fund - Monthly Bonus	0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW	17.0236
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW	19.1048
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW	15.1497
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW	17.3868
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW	13.9855
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW	12.8680
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW	15.4680
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW	12.2931
HDFC Corporate Bond Fund - Growth Option	32.7164
HDFC Corporate Bond Fund - Growth Option - Direct Plan	33.4234
HDFC Corporate Bond Fund - IDCW Option	19.8055
HDFC Corporate Bond Fund - IDCW Option - Direct Plan	20.4795
HDFC Corporate Bond Fund - Quarterly IDCW Option	10.6879
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan	10.5714
HSBC Corporate Bond Fund - Direct Annual IDCW	11.9995
HSBC Corporate Bond Fund - Direct Growth	78.0083
HSBC Corporate Bond Fund - Direct Quarterly IDCW	11.6444
HSBC Corporate Bond Fund - Direct Semi Annual IDCW	20.3777
HSBC Corporate Bond Fund - Regular Annual IDCW	11.745
HSBC Corporate Bond Fund - Regular Growth	73.2536
HSBC Corporate Bond Fund - Regular Quarterly IDCW	11.2355
HSBC Corporate Bond Fund - Regular Semi Annual IDCW	17.0415
HSBC Corporate Bond Fund -Regular Plan - Bonus	27.8257
ICICI Prudential Corporate Bond Fund - Bonus	14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW	10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW	10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW	12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth	31.2564
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option	12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW	10.3209
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW	15.5685
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW	10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW	10.2243
ICICI Prudential Corporate Bond Fund - Growth	29.8459
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option	12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW	10.4753
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend	10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend	10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW	10.3040
ICICI Prudential Corporate Bond Fund -Quarterly IDCW	11.2579
ICICI Prudential Corporate Bond Fund Retail Daily Dividend	10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend	10.3041
ICICI Prudential Corporate Bond Fund Retail Growth	22.7853
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend	10.3008
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend	10.9335
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend	10.2202
Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment)	1971.8506
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment)	1259.8325
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment)	3421.3382
Invesco India Corporate Bond Fund - Direct Plan - Growth	3420.2613
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1269.6423
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment)	1386.0712
Invesco India Corporate Bond Fund - Discretionary IDCW (Payout / Reinvestment)	3353.5388
Invesco India Corporate Bond Fund - Growth	3192.7846
Invesco India Corporate Bond Fund - Monthly IDCW (Payout / Reinvestment)	1829.998
Invesco India Corporate Bond Fund - Quarterly IDCW (Payout / Reinvestment)	1191.2365
Kotak Coporate Bond Fund- Retail Plan-Growth Option	2034.9063
Kotak Corporate Bond Fund- Direct Plan- Growth Option	3951.8368
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option	1081.2546
Kotak Corporate Bond Fund- Institutional Plan-Growth Option	2090.4924
Kotak Corporate Bond Fund- Regular Plan-Growth Option	3785.9629
Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option	1233.3203
Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option	1066.6837
Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option	1040.0538
Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option	1052.3061
Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option	1052.6393
Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option	1052.7994
Kotak Corporate Bond Fund- Standard Plan-Weekly Dividend Option	1202.9939
Mirae Asset Corporate Bond Fund Direct Growth Plan	13.0629
Mirae Asset Corporate Bond Fund Direct IDCW	13.0600
Mirae Asset Corporate Bond Fund Regular Growth	12.8222
Mirae Asset Corporate Bond Fund Regular IDCW	12.8222
NIPPON INDIA CORPORATE BOND FUND - DAILY IDCW Option	17.0930
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - DAILY IDCW Option	17.0932
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - IDCW Option	20.0300
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - MONTHLY IDCW Option	11.7736
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - QUARTERLY IDCW Option	12.5325
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - WEEKLY IDCW Option	17.1011
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Bonus	45.1298
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option	63.2112
Nippon India Corporate Bond Fund - Growth Plan - Bonus Option	43.0361
Nippon India Corporate Bond Fund - Growth Plan - Growth Option	60.2584
NIPPON INDIA CORPORATE BOND FUND - IDCW Option	19.3051
NIPPON INDIA CORPORATE BOND FUND - MONTHLY IDCW Option	11.6455
